Question,Answer,Class
Do I have to wear the hearing aid in both ears?,"If there is bilateral hearing impairment, it is best to wear hearing aids in both ears. However, you can choose to wear one first.",Otorhinolaryngology - Audiology
How much does a hearing aid cost?,"The cost depends on the type and technology of the device, generally ranging from RM1,000 to RM10,000 for one ear.",Otorhinolaryngology - Audiology
Can I apply for financial aid to purchase the hearing aid?,Yes. Government employees or pensioners can apply through the Public Service Department. Others will be referred to the Department of Social Welfare for assistance options.,Otorhinolaryngology - Audiology
What if I have an issue with the hearing aid after fitting?,There will be a follow-up appointment after fitting to optimize the hearing aid settings.,Otorhinolaryngology - Audiology
Can I remove the hearing aid after fitting?,"Yes, hearing aids can be removed when bathing or sleeping, but it is advisable to wear them for at least 8 hours a day.",Otorhinolaryngology - Audiology
Can this clinic accept Walk-In patients for dental check-up?,No. We only accept patients with a referral letter. Patients with no medical illness will have to go to the nearest government clinic for dental check-up.,Oral & Maxillofacial Surgery
"Can I get filling & scaling done in Oral & Maxillofacial Department, HKL?","Both treatments are provided to patients referred to us with chronic medical illnesses such as heart disease, hypertension, diabetes, and cancer. Healthy patients can receive dental treatment at the nearest Government Clinic.",Oral & Maxillofacial Surgery
Can I do tooth implant and what is the cost?,"Yes, but with a referral letter. The cost for the implant ranges from RM3000 to RM4000 depending on the type of implant used. Not all cases referred for implants are suitable for treatment. The Oral Surgeon will conduct examinations before starting treatment.",Oral & Maxillofacial Surgery
Can I bring my child for dental treatment?,The clinic only accepts patients above 16 years old with a referral letter from a government/private clinic or hospital.,Oral & Maxillofacial Surgery
Where should I go with referral letter addressed to Oral Pathology & Oral Medicine Clinic?,"Patients should go to the Oral & Maxillofacial Surgery Satellite Clinic in the main block for services such as:1) Forensic Odontology2) Oral Pathology & Oral Medicine3) Special Needs Dentistry.For further enquiries, contact the Dental Officer Incharge at 03-2615 5555 Ext: 1264 / 1266 or email bmulut.hkl@moh.gov.my.",Oral & Maxillofacial Surgery
